coefficients,signature,discriminant,gal_group,disc_ratio,ring_int
"[1, -21, 26, -10, 20]",[1],-1325308560,S_4,1/4,False
"[1, 18, 26, -19, 20]",[1],-1466017491,S_4,1,True
"[1, 12, 19, 10, -12]",[1],-44113696,S_4,1/4,False
"[1, -12, -32, 4, -32]",[1],-2771901184,S_4,1/64,False
"[1, -17, 1, 23, 6]","[1, 0]",133977172,S_4,1/49,False
"[1, 23, -32, -6, 31]",[1],-5344075123,S_4,1,True
"[1, 14, -10, -29, -13]",[1],-94740667,S_4,1,True
"[1, -3, -22, -10, -8]",[1],-23626208,S_4,1/4,False
"[1, 16, -30, 6, 10]",[1],-91762736,S_4,1,True
"[1, 28, -27, 16, -29]",[1],-13193177616,S_4,1/9,False
"[1, 21, -30, 9, -21]",[1],-3249125568,S_4,1/64,False
"[1, -21, -8, -3, -3]",[1],-42665880,S_4,1,True
"[1, -29, -9, 16, -17]",[1],-6518829807,S_4,1,True
"[1, -29, 1, 32, -4]",[2],2927367584,S_4,1/4,False
"[1, 24, 8, 3, -25]",[1],-5314560523,S_4,1,True
"[1, -2, 21, 11, 8]",[1],24462729,S_4,1,True
"[1, -1, 24, 19, 4]",[1],2205257,S_4,1,True
"[1, 27, -25, 15, -27]",[1],-9901620891,S_4,1/9,False
"[1, -26, 13, 12, 1]",[3],63630224,S_4,1,True
"[1, -25, 32, 15, -31]",[1],-1910660384,S_4,1/4,False
"[1, -28, 15, -22, -24]",[1],-12053161120,S_4,1/4,False
"[1, 26, 0, 20, 17]",[1],-4187712560,S_4,1/4,False
"[1, 2, 2, 23, -6]",[1],-8233379,S_4,1,True
"[1, 8, -25, -30, -32]",[1],-987867296,S_4,1/2116,False
"[1, -3, 19, 32, -25]",[1],-267036239,S_4,1,True
"[1, 27, 30, 23, 26]",[1],-4740364975,S_4,1/25,False
"[1, 0, -13, 28, 28]",[2],-49344512,S_4,1/4096,False
"[1, -6, 31, 18, 23]",[1],384708800,S_4,1/25,False
"[1, -17, 28, -12, 24]",[1],-663302592,S_4,1/64,False
"[1, -26, -19, -5, 22]",[1],-7195427127,S_4,1/9,False
"[1, 16, -14, -19, 6]",[1],236687125,S_4,1,True
"[1, -18, -13, -2, -5]",[1],-87098816,S_4,1,True
"[1, -30, 5, 22, 26]",[1],-14558488656,S_4,1/20164,False
"[1, -8, -16, 11, 30]",[1],-74369067,S_4,1,True
"[1, -29, -16, 23, 6]",[1],1766752161,S_4,1,True
"[1, 12, -7, -27, 27]",[1],-148000743,S_4,1/9,False
"[1, -13, 6, -7, -13]",[1],-128743736,S_4,1,True
"[1, -14, 28, 12, 32]",[1],-715279104,S_4,1/576,False
"[1, 21, -27, -22, -24]",[1],-7312448556,S_4,1/196,False
"[1, -21, 9, 13, 5]",[1],-132937483,S_4,1,True
"[1, 27, -25, -6, 1]",[2],133995609,S_4,1,True
"[1, 12, -25, -17, -12]",[1],-507836303,S_4,1,True
"[1, 17, -26, -30, 17]",[1],2030176293,S_4,1,True
"[1, 28, 6, 13, 17]",[1],-4319154779,S_4,1,True
"[1, 19, -22, 28, -2]",[1],-469550220,S_4,1,True
"[1, -30, -16, -18, -10]",[1],-1634090416,S_4,1,True
"[1, 20, -32, -4, -27]",[1],-7111082752,S_4,1,True
"[1, 22, -26, -2, 25]",[1],-3786962176,S_4,1/16,False
"[1, 12, -28, -6, -9]",[1],-377979696,S_4,1/81,False
"[1, -4, -12, -18, -21]",[1],-12452400,S_4,1,True
"[1, 18, -1, -31, 32]",[1],-2110794039,S_4,1/9,False
"[1, 21, 7, -18, 21]",[1],-2316716223,S_4,1,True
"[1, -25, -13, 3, -4]",[1],-256255628,S_4,1,True
