,coefficients,signature,discriminant,number,type_i,source,type_II,gal_group,type_I,disc_ratio,is_OK
89,"[1, 0, 5, -7, 6]","[1, 1]",122449,2,False,df8,False,S_4,,1,True
90,"[1, 0, 5, -1, 3]","[1, 1]",9745,2,False,df8,True,S_4,,1,True
91,"[1, 0, 5, -1, 6]","[1, 1]",3889,2,False,df8,True,S_4,,1,True
92,"[1, 0, 5, -1, 8]","[1, 1]",11505,2,False,df8,True,S_4,,1,True
93,"[1, 0, 6, -1, -3]","[1, 1]",-114075,2,False,df8,True,S_4,,1,True
94,"[1, 0, 6, -1, 2]","[1, 1]",25925,2,False,df8,True,S_4,,1,True
95,"[1, 0, 6, -1, 3]","[1, 1]",29349,2,False,df8,True,S_4,,1/9,False
96,"[1, 0, 6, -1, 6]","[1, 1]",18117,2,False,df8,True,S_4,,1,True
97,"[1, 0, 6, -1, 7]","[1, 1]",12325,2,False,df8,True,S_4,,1,True
98,"[1, 0, 7, -1, -4]","[1, 1]",-275831,2,False,df8,True,S_4,,1,True
99,"[1, 0, 7, -1, -2]","[1, 1]",-107383,2,False,df8,True,S_4,,1,True
100,"[1, 0, 7, -1, 2]","[1, 1]",54409,2,False,df8,True,S_4,,1,True
101,"[1, 0, 7, -1, 3]","[1, 1]",67337,2,False,df8,True,S_4,,1,True
102,"[1, 0, 7, -1, 7]","[1, 1]",55049,2,False,df8,True,S_4,,1,True
103,"[1, 0, 7, -1, 8]","[1, 1]",43657,2,False,df8,True,S_4,,1,True
104,"[1, 0, 8, -8, 2]","[1, 1]",6144,2,False,df8,False,D_4,,1,True
105,"[1, 0, 8, -1, -6]","[1, 1]",-752411,2,False,df8,True,S_4,,1,True
106,"[1, 0, 8, -1, -4]","[1, 1]",-416283,2,False,df8,True,S_4,,1,True
107,"[1, 0, 8, -1, -3]","[1, 1]",-282779,2,False,df8,True,S_4,,1,True
108,"[1, 0, 8, -1, -2]","[1, 1]",-170267,2,False,df8,True,S_4,,1,True
109,"[1, 0, 8, -1, 2]","[1, 1]",100581,2,False,df8,True,S_4,,1,True
110,"[1, 0, 8, -1, 5]","[1, 1]",158565,2,False,df8,True,S_4,,1,True
111,"[1, 0, 8, -1, 8]","[1, 1]",138213,2,False,df8,True,S_4,,1/9,False
112,"[1, 1, -8, -2, 2]","[1, 1]",122260,2,False,df8,False,S_4,,1,True
113,"[1, 1, -7, -7, 2]","[1, 1]",64436,2,False,df8,False,S_4,,1,True
114,"[1, 1, -6, -3, -2]","[1, 1]",-58271,2,False,df8,False,S_4,,1,True
115,"[1, 1, -4, -8, -6]","[1, 1]",-17228,2,False,df8,False,S_4,,1,True
116,"[1, 1, -4, -2, -7]","[1, 1]",-230723,2,False,df8,False,S_4,,1,True
117,"[1, 1, -3, -7, -6]","[1, 1]",-16268,2,False,df8,False,S_4,,1,True
118,"[1, 1, -3, -7, -2]","[1, 1]",-13036,2,False,df8,False,S_4,,1,True
119,"[1, 1, -3, 8, -5]","[1, 1]",-79375,2,False,df8,False,S_4,,1/25,False
120,"[1, 1, -2, 6, -8]","[1, 1]",-200608,2,False,df8,False,S_4,,1/4,False
121,"[1, 1, -2, 6, -2]","[1, 1]",-27436,2,False,df8,False,S_4,,1,True
122,"[1, 1, -1, 8, 5]","[1, 1]",-187231,2,False,df8,True,S_4,,1,True
123,"[1, 1, 0, -4, 7]","[1, 1]",116789,2,False,df8,True,S_4,,1,True
124,"[1, 1, 0, 5, -4]","[1, 1]",-48951,2,False,df8,False,S_4,,1,True
125,"[1, 8, -7, 7, 2]","[1, 1]",-2884783,2,False,df8,False,S_4,,1,True
126,"[1, 8, -6, 6, -7]","[1, 1]",-6371248,2,False,df8,False,S_4,,1,True
127,"[1, 8, -5, 7, -7]","[1, 1]",-6233143,2,False,df8,False,S_4,,1,True
128,"[1, 8, -5, 7, 2]","[1, 1]",-2485111,2,False,df8,False,S_4,,1,True
129,"[1, 8, -4, -1, 3]","[1, 1]",-1121051,2,False,df8,False,S_4,,1,True
130,"[1, 8, -3, -5, 2]","[1, 1]",95121,2,False,df8,False,S_4,,1,True
