coefficients,signature,discriminant,gal_group,disc_ratio,ring_int
"[1, 7, 5, 2, -3]",[1],-392127,S_4,1,True
"[1, 7, 5, 2, -2]",[1],-189144,S_4,1,True
"[1, 7, 5, 2, -1]","[1, 2]",-60103,S_4,1,True
"[1, 7, 5, 2, 1]",[3],-17703,S_4,1,True
"[1, 7, 5, 2, 2]",[2],-101272,S_4,1,True
"[1, 7, 5, 2, 4]",[2],-470268,S_4,1/4,False
"[1, 7, 5, 2, 5]",[1],-752623,S_4,1,True
"[1, 7, 5, 2, 6]",[1],-1098168,S_4,1,True
"[1, 7, 5, 2, 7]",[1],-1505367,S_4,1,True
"[1, 7, 5, 2, 8]",[1],-1972684,S_4,1/4,False
"[1, 7, 5, 3, -8]",[1],-2820176,S_4,1/4,False
"[1, 7, 5, 3, -7]",[1],-2185283,S_4,1,True
"[1, 7, 5, 3, -6]",[1],-1634700,S_4,1,True
"[1, 7, 5, 3, -5]",[1],-1166891,S_4,1,True
"[1, 7, 5, 3, -4]",[1],-780320,S_4,1/4,False
"[1, 7, 5, 3, -3]",[1],-473451,S_4,1,True
"[1, 7, 5, 3, -2]",[1],-244748,S_4,1,True
"[1, 7, 5, 3, -1]",[2],-92675,S_4,1,True
"[1, 7, 5, 3, 1]",[3],-12275,S_4,1/25,False
"[1, 7, 5, 3, 2]",[1],-80876,S_4,1,True
"[1, 7, 5, 3, 3]",[2],-219963,S_4,1,True
"[1, 7, 5, 3, 5]",[2],-703451,S_4,1,True
"[1, 7, 5, 3, 6]",[1],-1044780,S_4,1,True
"[1, 7, 5, 3, 7]",[1],-1450451,S_4,1,True
"[1, 7, 5, 3, 8]",[1],-1918928,S_4,1/4,False
"[1, 7, 5, 4, -8]",[1],-3092112,S_4,1/36,False
"[1, 7, 5, 4, -7]","[0, 1]",-2417207,S_4,1,True
"[1, 7, 5, 4, -6]",[1],-1829300,S_4,1,True
"[1, 7, 5, 4, -5]",[1],-1326855,S_4,1,True
"[1, 7, 5, 4, -4]",[1],-908336,S_4,1/16,False
"[1, 7, 5, 4, -3]",[1],-572207,S_4,1,True
"[1, 7, 5, 4, -1]",[2],-140975,S_4,1,True
"[1, 7, 5, 4, 1]",[2],-20871,S_4,1/9,False
"[1, 7, 5, 4, 2]",[1],-73652,S_4,1,True
"[1, 7, 5, 4, 3]","[1, 0]",-199607,S_4,1,True
"[1, 7, 5, 4, 4]",[2],-397200,S_4,1/4,False
"[1, 7, 5, 4, 6]",[2],-1001156,S_4,1,True
"[1, 7, 5, 4, 7]",[1],-1404447,S_4,1/121,False
"[1, 7, 5, 4, 8]",[1],-1873232,S_4,1/4,False
"[1, 7, 5, 5, -8]",[1],-3392460,S_4,1,True
"[1, 7, 5, 5, -7]",[1],-2676691,S_4,1,True
"[1, 7, 5, 5, -6]",[1],-2050608,S_4,1/4,False
"[1, 7, 5, 5, -5]",[1],-1512675,S_4,1/81,False
"[1, 7, 5, 5, -4]","[1, 0]",-1061356,S_4,1,True
"[1, 7, 5, 5, -3]",[1],-695115,S_4,1/9,False
"[1, 7, 5, 5, -2]",[1],-412416,S_4,1/64,False
"[1, 7, 5, 5, -1]",[2],-211723,S_4,1,True
"[1, 7, 5, 5, 1]",[2],-50211,S_4,1,True
"[1, 7, 5, 5, 2]",[2],-86320,S_4,1/4,False
"[1, 7, 5, 5, 3]",[2],-198291,S_4,1,True
"[1, 7, 5, 5, 4]",[1],-384588,S_4,1/81,False
"[1, 7, 5, 5, 5]",[2],-643675,S_4,1,True
