coefficients,signature,discriminant,type_I,2-monogen,number
"[1, -4, 2, 3, -6]","[1, 1]",-63003,False,True,2
"[1, -4, 2, 3, 4]","[1, 1]",2917,False,True,2
"[1, -4, 2, 3, 6]","[1, 1]",28389,False,True,2
"[1, -4, 2, 3, 7]","[1, 1, 1, 0]",52645,False,True,3
"[1, -4, 2, 3, 8]","[1, 1]",86629,False,True,2
"[1, -4, 2, 5, 7]","[1, 1]",131877,False,True,2
"[1, -4, 2, 5, 8]","[1, 1]",189925,False,True,2
"[1, -4, 3, -7, 4]","[1, 1]",-84591,False,True,2
"[1, -4, 3, 1, 4]","[1, 1, 0]",7601,False,True,2
"[1, -4, 3, 1, 5]","[1, 1]",19089,False,True,2
"[1, -4, 3, 1, 6]","[1, 1, 0]",37489,False,True,2
"[1, -4, 3, 1, 7]","[0, 1, 1]",64337,False,True,2
"[1, -4, 3, 3, 7]","[1, 1, 0]",149521,False,True,2
"[1, -4, 3, 3, 8]","[1, 1]",210929,False,True,2
"[1, -4, 4, -8, 2]","[1, 1]",-62464,False,True,2
"[1, -4, 4, -1, -8]","[1, 1]",-163579,False,True,2
"[1, -4, 4, -1, -4]","[1, 1]",-24443,False,True,2
"[1, -4, 4, -1, 5]","[1, 1]",19045,False,True,2
"[1, -4, 4, -1, 6]","[1, 1]",36677,False,True,2
"[1, -4, 4, -1, 7]","[1, 1]",62501,False,True,2
"[1, -4, 4, -1, 8]","[1, 1]",98053,False,True,2
"[1, -4, 4, 1, 7]","[1, 1, 1, 0]",144869,False,True,3
"[1, -4, 4, 1, 8]","[1, 1]",204485,False,True,2
"[1, -4, 4, 7, 2]","[1, 1]",2981,False,True,2
"[1, -4, 5, -3, -6]","[1, 1]",-93207,False,True,2
"[1, -4, 5, -3, -5]","[1, 1]",-59159,False,True,2
"[1, -4, 5, -3, -4]","[1, 1]",-34583,False,True,2
"[1, -4, 5, -3, 4]","[1, 1, 0]",5353,False,True,2
"[1, -4, 5, -3, 5]","[1, 1, 1, 0]",13801,False,True,3
"[1, -4, 5, -3, 6]","[1, 1]",28137,False,True,2
"[1, -4, 5, -3, 7]","[1, 1]",49897,False,True,2
"[1, -4, 5, -3, 8]","[1, 1]",80617,False,True,2
"[1, -4, 5, -1, 7]","[1, 1]",121833,False,True,2
"[1, -4, 5, -1, 8]","[0, 1, 1, 0]",175081,False,True,2
"[1, -4, 6, -5, -8]","[1, 1, 0]",-256027,False,True,2
"[1, -4, 6, -5, -7]","[1, 1, 0]",-186651,False,True,2
"[1, -4, 6, -5, -6]","[1, 1, 0]",-131099,False,True,2
"[1, -4, 6, -5, -4]","[1, 1, 0]",-55323,False,True,2
"[1, -4, 6, -5, -2]","[1, 1, 0]",-16411,False,True,2
"[1, -4, 6, -5, 4]","[0, 0, 1, 1]",2021,False,True,2
"[1, -4, 6, -5, 5]","[0, 0, 1, 1]",6885,False,True,2
"[1, -4, 6, -5, 7]","[0, 1, 1, 0]",31973,False,True,2
"[1, -4, 6, -5, 8]","[0, 1, 1]",55269,False,True,2
"[1, -4, 6, -3, 7]","[0, 1, 1]",87781,False,True,2
"[1, -4, 6, -3, 8]","[0, 1, 1]",131045,False,True,2
"[1, -4, 6, 1, -6]","[1, 1]",-18923,False,True,2
"[1, 1, 5, -6, -7]","[1, 1]",-551519,False,True,2
"[1, 1, 5, -5, -4]","[1, 1]",-228236,False,True,2
"[1, 1, 6, -3, 4]","[1, 0, 1, 0]",96457,False,True,2
"[1, 1, 6, -2, 6]","[1, 1]",101876,False,True,2
"[1, 1, 8, -7, -6]","[1, 1]",-1398231,False,True,2
"[1, 1, 8, 4, -7]","[1, 1]",-934859,False,True,2
"[1, 2, -3, -5, -7]","[1, 1]",-149607,False,True,2
"[1, 2, -3, -5, -4]","[1, 1]",-33183,False,True,2
"[1, 2, -3, -5, 7]","[1, 1, 0]",21641,False,True,2
"[1, 2, -3, -5, 8]","[1, 1]",43713,False,True,2
"[1, 2, -3, 3, 4]","[1, 1]",-91679,False,True,2
"[1, 2, -2, -4, -6]","[1, 1]",-69568,False,True,2
"[1, 2, -2, -4, -3]","[1, 1]",-8752,False,True,2
"[1, 2, -2, -4, 5]","[1, 1]",14032,False,True,2
"[1, 2, -2, -4, 6]","[1, 1]",30272,False,True,2
"[1, 2, -2, -4, 7]","[1, 1]",54608,False,True,2
"[1, 2, -2, -4, 8]","[1, 1, 0]",88576,False,True,2
"[1, 2, -2, -2, -8]","[1, 1]",-223408,False,True,2
"[1, 2, -2, 4, -3]","[1, 1]",-27440,False,True,2
"[1, 2, -2, 5, -2]","[1, 1]",-22675,False,True,2
"[1, 2, -2, 5, 4]","[1, 1]",-124771,False,True,2
"[1, 2, -1, -3, -8]","[1, 1]",-125783,False,True,2
"[1, 2, -1, -3, -6]","[1, 1]",-51591,False,True,2
"[1, 2, -1, -3, 3]","[1, 1, 0]",5073,False,True,2
"[1, 2, -1, -3, 4]","[0, 1, 1, 0]",14089,False,True,2
"[1, 2, -1, -3, 5]","[1, 1]",29281,False,True,2
"[1, 2, -1, -3, 6]","[1, 1]",52185,False,True,2
"[1, 2, -1, -3, 7]","[1, 1]",84337,False,True,2
"[1, 2, -1, -3, 8]","[1, 1, 0]",127273,False,True,2
"[1, 2, -1, 5, 2]","[1, 1]",-46727,False,True,2
"[1, 2, -1, 7, -6]","[1, 1]",-218751,False,True,2
"[1, 2, 0, -2, -7]","[1, 1]",-70848,False,True,2
"[1, 2, 0, -2, -6]","[1, 1]",-42800,False,True,2
"[1, 2, 0, -2, 2]","[1, 1]",3024,False,True,2
"[1, 2, 0, -2, 3]","[0, 1, 1]",9472,False,True,2
"[1, 2, 0, -2, 4]","[1, 1]",21200,False,True,2
"[1, 2, 0, -2, 5]","[1, 1]",39744,False,True,2
"[1, 2, 0, -2, 6]","[1, 1]",66640,False,True,2
"[1, 2, 0, -2, 7]","[1, 1]",103424,False,True,2
"[1, 2, 0, -2, 8]","[1, 1]",151632,False,True,2
"[1, 2, 0, 0, -8]","[1, 1]",-158720,False,True,2
"[1, 2, 1, -1, 3]","[0, 1, 1]",10889,False,True,2
"[1, 2, 1, -1, 4]","[1, 1]",23297,False,True,2
"[1, 2, 1, -1, 5]","[1, 1]",42649,False,True,2
"[1, 2, 1, -1, 6]","[1, 1]",70481,False,True,2
"[1, 2, 1, -1, 7]","[0, 1, 1, 0]",108329,False,True,2
"[1, 2, 1, -1, 8]","[1, 1]",157729,False,True,2
"[1, 2, 1, 1, -8]","[1, 1]",-155479,False,True,2
"[1, 2, 1, 7, -2]","[1, 1]",-87727,False,True,2
"[1, 2, 2, -3, 5]","[1, 1]",80389,False,True,2
"[1, 2, 2, 0, 2]","[1, 1, 0]",3136,False,True,2
"[1, 2, 2, 0, 3]","[1, 1]",9168,False,True,2
"[1, 2, 2, 0, 4]","[1, 1]",20224,False,True,2
"[1, 2, 2, 0, 5]","[1, 1]",37840,False,True,2
"[1, 2, 2, 0, 6]","[1, 1]",63552,False,True,2
"[1, 2, 2, 0, 7]","[1, 1]",98896,False,True,2
"[1, 2, 2, 0, 8]","[1, 1]",145408,False,True,2
"[1, 2, 3, 1, 2]","[1, 1, 0, 0]",1593,False,True,2
"[1, 2, 3, 1, 3]","[1, 1, 1, 0]",5521,False,True,3
"[1, 2, 3, 1, 4]","[1, 1, 0]",13577,False,True,2
"[1, 2, 3, 1, 5]","[0, 1, 1, 0]",27297,False,True,2
"[1, 2, 3, 1, 6]","[1, 1]",48217,False,True,2
"[1, 2, 3, 1, 7]","[1, 1]",77873,False,True,2
"[1, 2, 3, 1, 8]","[1, 1, 0, 0]",117801,False,True,2
"[1, 2, 4, -7, -5]","[1, 1]",-301891,False,True,2
"[1, 2, 4, -1, 5]","[1, 1]",64909,False,True,2
"[1, 2, 4, 2, -7]","[1, 1]",-143552,False,True,2
"[1, 2, 4, 2, 4]","[1, 1, 0]",6224,False,True,2
"[1, 2, 4, 2, 5]","[0, 1, 1, 0]",14656,False,True,2
"[1, 2, 4, 2, 6]","[1, 1]",28880,False,True,2
"[1, 2, 4, 2, 7]","[1, 1]",50432,False,True,2
"[1, 2, 4, 2, 8]","[1, 1]",80848,False,True,2
"[1, 2, 5, 3, -8]","[1, 1]",-290111,False,True,2
"[1, 2, 5, 3, 4]","[0, 1, 1]",1825,False,True,2
"[1, 2, 5, 3, 7]","[1, 1]",23689,False,True,2
"[1, 2, 5, 3, 8]","[0, 1, 1, 0]",42817,False,True,2
"[1, 2, 5, 5, -8]","[1, 1]",-382455,False,True,2
"[1, 2, 6, 0, 6]","[1, 1]",101952,False,True,2
"[1, 2, 6, 4, -4]","[1, 1]",-117504,False,True,2
"[1, 2, 6, 4, -3]","[1, 1]",-75056,False,True,2
"[1, 2, 6, 4, 2]","[1, 1]",5184,False,True,2
"[1, 2, 6, 4, 6]","[0, 1, 1]",3136,False,True,2
"[1, 2, 6, 4, 7]","[0, 1, 1]",6224,False,True,2
"[1, 2, 6, 6, -8]","[1, 1]",-546224,False,True,2
"[1, 2, 7, 5, -5]","[1, 1]",-282415,False,True,2
"[1, 2, 7, 5, -4]","[1, 1]",-202103,False,True,2
"[1, 2, 7, 5, -3]","[1, 1]",-137119,False,True,2
"[1, 2, 7, 5, 2]","[1, 0, 1]",11641,False,True,2
"[1, 2, 7, 5, 3]","[1, 1]",16913,False,True,2
"[1, 2, 7, 5, 6]","[1, 0, 1, 0, 0]",11417,False,True,2
"[1, 2, 7, 5, 7]","[0, 1, 1]",7601,False,True,2
"[1, 2, 7, 5, 8]","[0, 1, 1]",5353,False,True,2
"[1, 2, 8, -6, -8]","[1, 1]",-1615280,False,True,2
"[1, 2, 8, 6, -6]","[1, 1]",-587568,False,True,2
"[1, 2, 8, 6, -5]","[1, 1]",-451328,False,True,2
"[1, 2, 8, 6, -4]","[1, 1]",-335408,False,True,2
"[1, 2, 8, 6, -3]","[1, 1]",-238272,False,True,2
"[1, 2, 8, 6, 2]","[1, 1]",19408,False,True,2
"[1, 2, 8, 6, 3]","[1, 1]",36096,False,True,2
"[1, 2, 8, 6, 4]","[1, 1]",44752,False,True,2
"[1, 2, 8, 6, 7]","[1, 1]",37888,False,True,2
"[1, 2, 8, 6, 8]","[1, 1]",29776,False,True,2
"[1, 3, -7, -4, 3]","[1, 1, 0]",206329,False,True,2
"[1, 3, -6, -6, 6]","[1, 1]",145044,False,True,2
"[1, 3, -6, 8, 2]","[1, 1]",-575788,False,True,2
"[1, 3, -5, -5, 4]","[1, 1]",70292,False,True,2
"[1, 3, -5, -3, 2]","[1, 1]",41684,False,True,2
"[1, 3, -5, 0, -7]","[1, 1]",-770791,False,True,2
"[1, 3, -5, 6, -7]","[1, 1]",-481567,False,True,2
"[1, 3, -4, -1, -2]","[1, 1]",-59831,False,True,2
"[1, 3, -4, 7, 4]","[1, 1]",-615023,False,True,2
"[1, 3, -3, -8, -8]","[1, 1]",-259808,False,True,2
"[1, 3, -3, 0, -3]","[1, 1]",-78759,False,True,2
"[1, 3, -3, 5, -4]","[1, 1]",-112108,False,True,2
"[1, 3, -3, 6, -3]","[0, 1, 1]",-78759,False,True,2
"[1, 3, -3, 8, -3]","[1, 1]",-176823,False,True,2
"[1, 3, -2, 2, 2]","[1, 1]",-34988,False,True,2
"[1, -1, 1, -7, -6]","[1, 1]",-202288,False,True,2
"[1, -1, 2, 3, 4]","[1, 0, 1, 0]",32737,False,True,2
"[1, -1, 2, 4, -4]","[1, 1]",-41008,False,True,2
"[1, -1, 2, 8, 6]","[1, 1]",96052,False,True,2
"[1, -1, 4, 1, 4]","[1, 0, 1, 0]",17609,False,True,2
"[1, 0, -8, -3, 8]","[1, 1]",64373,False,True,2
"[1, 0, -8, -1, -8]","[1, 1]",-1168411,False,True,2
"[1, 0, -8, -1, -4]","[1, 1]",-402971,False,True,2
"[1, 0, -8, -1, -2]","[1, 1]",-161563,False,True,2
"[1, 0, -8, -1, 2]","[1, 1]",100069,False,True,2
"[1, 0, -7, -1, -6]","[1, 1]",-504191,False,True,2
"[1, 0, -7, -1, -4]","[1, 1]",-265023,False,True,2
"[1, 0, -7, -1, -3]","[1, 1]",-174239,False,True,2
"[1, 0, -7, -1, -2]","[1, 1]",-100607,False,True,2
"[1, 0, -7, -1, 2]","[1, 1]",53121,False,True,2
"[1, 0, -7, -1, 3]","[1, 0, 1]",64033,False,True,2
"[1, 0, -6, -1, -8]","[1, 1]",-584123,False,True,2
"[1, 0, -6, -1, -6]","[1, 1]",-339579,False,True,2
"[1, 0, -6, -1, -5]","[1, 1]",-245723,False,True,2
"[1, 0, -5, -1, -8]","[1, 1]",-409639,False,True,2
"[1, 0, -5, -1, -7]","[1, 1]",-309095,False,True,2
"[1, 0, -4, -1, -8]","[1, 1]",-290075,False,True,2
"[1, 0, -1, -7, -3]","[1, 1]",-51575,False,True,2
"[1, 0, 0, -7, -5]","[1, 1]",-96827,False,True,2
"[1, 0, 0, -1, 2]","[0, 1, 0, 1]",2021,False,True,2
"[1, 0, 0, -1, 3]","[0, 1, 0, 1]",6885,False,True,2
"[1, 0, 0, -1, 5]","[1, 0, 1, 0]",31973,False,True,2
"[1, 0, 0, -1, 6]","[1, 0, 1]",55269,False,True,2
"[1, 0, 0, -1, 7]","[1, 0, 1]",87781,False,True,2
"[1, 0, 0, -1, 8]","[1, 0, 1]",131045,False,True,2
"[1, 0, 1, -1, -8]","[1, 1]",-140575,False,True,2
"[1, 0, 1, -1, -6]","[1, 1]",-60895,False,True,2
"[1, 0, 1, -1, 2]","[1, 1, 1]",1825,False,True,3
"[1, 0, 1, -1, 3]","[1, 1]",6209,False,True,2
