coefficients,signature,discriminant
"[1, -7, -7, 0, -7]",[1],-6731375
"[1, -7, -7, 0, -6]",[1],-5026836
"[1, -7, -7, 0, -5]",[1],-3572495
"[1, -7, -7, 0, -4]",[1],-2366816
"[1, -7, -7, 0, -3]",[1],-1408263
"[1, -7, -7, 0, -2]",[2],-695300
"[1, -7, -7, 0, 1]","[2, 1]",-14591
"[1, -7, -7, 0, 2]",[1],-268628
"[1, -7, -7, 0, 3]",[1],-760575
"[1, -7, -7, 0, 4]",[1],-1488896
"[1, -7, -7, 0, 5]",[2],-2452055
"[1, -7, -7, 0, 6]",[1],-3648516
"[1, -7, -7, 0, 7]",[1],-5076743
"[1, -7, -7, 0, 8]",[1],-6735200
"[1, -7, -7, 1, -8]",[1],-9150480
"[1, -7, -7, 1, -7]",[1],-7145011
"[1, -7, -7, 1, -6]",[1],-5388588
"[1, -7, -7, 1, -5]",[1],-3879675
"[1, -7, -7, 1, -4]",[1],-2616736
"[1, -7, -7, 1, -3]",[1],-1598235
"[1, -7, -7, 1, -2]",[1],-822636
"[1, -7, -7, 1, -1]",[3],-288403
"[1, -7, -7, 1, 1]","[4, 3]",62109
"[1, -7, -7, 1, 2]",[2],-118540
"[1, -7, -7, 1, 3]",[1],-534411
"[1, -7, -7, 1, 4]",[1],-1183968
"[1, -7, -7, 1, 5]",[1],-2065675
"[1, -7, -7, 1, 6]",[1],-3177996
"[1, -7, -7, 1, 7]",[1],-4519395
"[1, -7, -7, 1, 8]",[1],-6088336
"[1, -7, -7, 2, -8]",[1],-9571788
"[1, -7, -7, 2, -7]",[1],-7519727
"[1, -7, -7, 2, -6]",[1],-5714024
"[1, -7, -7, 2, -5]",[1],-4153143
"[1, -7, -7, 2, -4]",[1],-2835548
"[1, -7, -7, 2, -3]",[1],-1759703
"[1, -7, -7, 2, -2]",[1],-924072
"[1, -7, -7, 2, -1]","[0, 2]",-327119
"[1, -7, -7, 2, 2]",[2],47032
"[1, -7, -7, 2, 3]","[1, 0]",-295367
"[1, -7, -7, 2, 4]",[1],-868764
"[1, -7, -7, 2, 5]",[1],-1671623
"[1, -7, -7, 2, 6]",[1],-2702408
"[1, -7, -7, 2, 7]",[1],-3959583
"[1, -7, -7, 2, 8]","[0, 1]",-5441612
"[1, -7, -7, 3, -8]",[1],-9939020
"[1, -7, -7, 3, -7]",[1],-7842971
"[1, -7, -7, 3, -6]",[1],-5990592
"[1, -7, -7, 3, -5]",[1],-4380347
"[1, -7, -7, 3, -4]",[1],-3010700
"[1, -7, -7, 3, -3]",[1],-1880115
"[1, -7, -7, 3, -2]",[1],-987056
"[1, -7, -7, 3, -1]",[2],-329987
"[1, -7, -7, 3, 1]",[4],282325
"[1, -7, -7, 3, 3]",[3],-30891
"[1, -7, -7, 3, 4]",[1],-530732
"[1, -7, -7, 3, 5]",[1],-1257347
"[1, -7, -7, 3, 6]",[1],-2209200
"[1, -7, -7, 3, 7]",[1],-3384755
"[1, -7, -7, 3, 8]",[1],-4782476
"[1, -7, -7, 4, -8]",[1],-10240272
"[1, -7, -7, 4, -7]",[2],-8102839
"[1, -7, -7, 4, -6]",[1],-6206388
"[1, -7, -7, 4, -5]",[1],-4549383
"[1, -7, -7, 4, -4]",[1],-3130288
"[1, -7, -7, 4, -3]",[1],-1947567
"[1, -7, -7, 4, -2]",[1],-999684
"[1, -7, -7, 4, -1]","[0, 2]",-285103
"[1, -7, -7, 4, 1]",[2],450297
"[1, -7, -7, 4, 2]",[2],474188
"[1, -7, -7, 4, 4]",[2],-157968
"[1, -7, -7, 4, 5]","[1, 0]",-810943
"[1, -7, -7, 4, 6]",[1],-1686468
"[1, -7, -7, 4, 7]",[1],-2783007
"[1, -7, -7, 4, 8]",[2],-4099024
"[1, -7, -7, 5, -8]",[1],-10464288
"[1, -7, -7, 5, -7]",[1],-8288075
"[1, -7, -7, 5, -6]",[1],-6350156
"[1, -7, -7, 5, -5]",[1],-4648995
"[1, -7, -7, 5, -4]",[1],-3183056
"[1, -7, -7, 5, -3]",[1],-1950803
"[1, -7, -7, 5, -2]",[1],-950700
"[1, -7, -7, 5, -1]",[2],-181211
"[1, -7, -7, 5, 1]",[2],672069
"[1, -7, -7, 5, 2]",[1],758932
"[1, -7, -7, 5, 3]",[2],621325
"[1, -7, -7, 5, 5]",[2],-321155
"[1, -7, -7, 5, 6]","[1, 0]",-1122956
"[1, -7, -7, 5, 7]",[2],-2143083
"[1, -7, -7, 6, -8]",[1],-10600460
"[1, -7, -7, 6, -7]",[1],-8388071
"[1, -7, -7, 6, -6]",[1],-6411288
"[1, -7, -7, 6, -5]",[1],-4668575
"[1, -7, -7, 6, -4]",[2],-3158396
"[1, -7, -7, 6, -3]",[1],-1879215
"[1, -7, -7, 6, -2]",[1],-829496
"[1, -7, -7, 6, -1]","[2, 1]",-7703
"[1, -7, -7, 6, 1]","[3, 1]",958249
"[1, -7, -7, 6, 2]",[1],1105480
"[1, -7, -7, 6, 3]",[1],1030929
"[1, -7, -7, 6, 4]","[2, 0]",736132
"[1, -7, -7, 6, 6]",[3],-508056
"[1, -7, -7, 6, 8]",[2],-2614796
"[1, -7, -7, 7, -8]",[1],-10638828
"[1, -7, -7, 7, -7]",[1],-8392867
"[1, -7, -7, 7, -6]",[1],-6379824
"[1, -7, -7, 7, -5]",[1],-4598163
"[1, -7, -7, 7, -4]",[1],-3046348
"[1, -7, -7, 7, -3]",[1],-1722843
"[1, -7, -7, 7, -2]",[1],-626112
"[1, -7, -7, 7, -1]",[3],245381
"[1, -7, -7, 7, 1]",[2],1318797
"[1, -7, -7, 7, 2]",[1],1523792
"[1, -7, -7, 7, 3]",[1],1509693
"[1, -7, -7, 7, 4]",[1],1278036
"[1, -7, -7, 7, 5]",[3],830357
"[1, -7, -7, 7, 7]",[3],-706923
"[1, -7, -7, 7, 8]",[1],-1793452
"[1, -7, -7, 8, -8]",[1],-10570080
"[1, -7, -7, 8, -7]",[1],-8293151
"[1, -7, -7, 8, -6]",[1],-6246452
"[1, -7, -7, 8, -5]",[1],-4428447
"[1, -7, -7, 8, -4]",[1],-2837600
"[1, -7, -7, 8, -3]","[0, 1]",-1472375
"[1, -7, -7, 8, -2]",[1],-331236
"[1, -7, -7, 8, -1]",[3],587353
"[1, -7, -7, 8, 1]","[2, 2]",1763025
"[1, -7, -7, 8, 2]",[1],2023180
"[1, -7, -7, 8, 3]",[1],2066929
"[1, -7, -7, 8, 4]",[2],1895808
"[1, -7, -7, 8, 6]",[3],915100
"[1, -7, -7, 8, 8]",[2],-906656
"[1, -7, -6, -8, -8]",[1],-5255104
"[1, -7, -6, -8, -7]","[0, 1]",-3842667
"[1, -7, -6, -8, -6]","[1, 1]",-2686028
"[1, -7, -6, -8, -5]",[1],-1783651
"[1, -7, -6, -8, -4]",[1],-1134000
