coefficients,signature,discriminant
"[1, -23, 10, 0, -18]",[1],-2171671020
"[1, -26, 4, -13, 23]",[1],-6151625971
"[1, -25, 5, -13, 31]",[2],-9367779171
"[1, -29, -29, -3, 14]",[1],-3761516268
"[1, 28, 26, 14, 7]",[1],-270681264
"[1, -6, 16, 20, -10]",[1],-35606720
"[1, 10, -12, -2, -10]",[1],-62621744
"[1, 27, 1, 13, -29]",[1],-12326668147
"[1, 30, 1, -14, 8]",[1],-1154526416
"[1, 31, -23, 5, -8]",[1],-1670853388
"[1, -3, -9, -16, -22]",[1],-9078916
"[1, 22, -12, -31, 30]",[1],-2526410075
"[1, 1, -28, -23, 7]",[1],105360828
"[1, -20, 7, -26, 27]",[1],-2832428656
"[1, 30, 2, -10, -20]",[1],-8313251120
"[1, 12, -28, 22, -15]",[1],-104503856
"[1, -3, 0, -8, 27]",[1],-173907
"[1, 15, -24, 10, -24]",[1],-1198231056
"[1, -17, -30, 21, 14]",[1],1449831425
"[1, -27, -24, -14, -17]",[2],-3504031331
"[1, -13, -5, 15, 22]",[1],-312199120
"[1, 15, -10, 23, 8]",[1],-440973375
"[1, -27, -30, 26, 5]",[1],3770852765
"[1, 4, -6, -27, -13]",[3],1080581
"[1, -11, -3, 21, -25]",[1],-236137387
"[1, -32, -3, -19, 6]",[1],-2168276351
"[1, -21, 20, 14, -10]",[1],198083124
"[1, -8, 0, 7, 3]",[1],-310459
"[1, -11, -22, 32, -23]",[1],-834000219
"[1, 28, 11, 22, -10]",[1],-3230054144
"[1, -25, 4, -12, 28]",[1],-7781615536
"[1, 17, 30, -9, -20]","[1, 0]",198838921
"[1, -11, 1, 7, 24]",[1],-208553452
"[1, -6, -4, -21, -11]",[1],-18083043
"[1, -11, 18, -31, 14]",[1],-25857279
"[1, -10, -25, -13, -3]",[1],-3262799
"[1, 23, -17, 17, -9]",[1],-392220523
"[1, -25, 19, 25, 29]",[1],-10213175275
"[1, -22, -3, -9, -8]",[1],-408271919
"[1, 29, -14, -32, -22]",[1],-11108510860
"[1, 6, 2, -20, -5]","[1, 2]",1270480
"[1, -4, -24, 24, 26]",[1],220789760
"[1, 23, 17, -24, 3]",[1],329346609
"[1, 17, -15, -18, -29]",[1],-3190779743
"[1, -18, 18, 30, 2]",[1],420306512
"[1, 7, 2, -11, 5]",[1],-329948
"[1, -24, -13, -7, 2]",[1],-95430135
"[1, -22, -5, 5, -30]",[1],-6146157175
"[1, -17, 9, -18, 29]",[1],-1395700663
"[1, -26, 10, -7, -21]",[1],-5433178667
"[1, 4, -19, 16, -15]",[1],-19358384
"[1, -24, -28, -11, 5]",[1],-479043627
"[1, -3, -15, 5, 8]",[1],7034864
"[1, -24, 21, -16, -10]",[1],-1387682464
"[1, -3, -20, 30, -7]",[3],15465869
"[1, 22, 27, -1, 15]",[1],-1520988863
"[1, -23, -27, -24, -8]",[1],-172681952
"[1, 6, 28, 22, -28]",[1],-103780784
"[1, -27, -2, 25, -6]",[1],626900369
"[1, 7, -29, 12, 12]",[1],46390896
"[1, 32, 18, 13, -28]",[1],-23353912683
"[1, 4, -30, -8, -26]",[1],-562291200
"[1, -21, 25, -9, -14]",[1],-840054348
"[1, 15, -8, 19, 30]",[1],-1950271759
"[1, 22, -3, 27, -3]",[1],-877673583
"[1, 25, 14, 29, 26]",[1],-5207441023
"[1, -25, 5, 11, 9]",[2],-872306003
"[1, -10, 15, -32, 25]",[2],-49407952
"[1, 11, 18, 30, 23]",[2],-37487947
"[1, 10, 16, -11, 10]",[1],-15646651
"[1, 17, 11, 1, -28]",[1],-1415487244
"[1, 19, -8, 12, 1]",[2],-65754091
"[1, 22, 12, 16, -28]",[1],-5340809984
"[1, 18, -8, -16, -17]",[1],-1056825520
"[1, -4, -18, -24, 8]",[1],-40640512
"[1, -10, -13, -2, -6]",[1],-20904816
"[1, -32, 24, 25, -5]",[1],3388308165
"[1, 17, 15, -17, 7]",[1],-134099131
"[1, -20, 13, 13, 29]",[1],-3599234711
"[1, -22, -32, 8, 25]",[1],-1755017392
"[1, 18, -14, -24, 10]",[2],515778624
"[1, 19, -26, -18, -16]",[1],-2655130848
"[1, -7, 19, -4, 4]",[1],1963088
"[1, -22, 12, 18, 9]",[1],-563620032
"[1, 28, -24, -25, 21]",[2],-46360283
"[1, -1, -15, 4, -30]",[1],-59736596
"[1, -31, 3, 28, -13]",[1],-914073039
"[1, -12, -6, -17, 9]",[1],-136648971
"[1, -22, -24, -3, 20]",[1],-2926493419
"[1, 1, -20, 31, -14]",[2],-532135
"[1, -25, 9, 29, -10]",[1],1210399312
"[1, 9, 5, -23, 7]",[3],7918453
"[1, 30, 16, -29, 11]",[1],-2258453603
"[1, -11, 20, -31, -8]",[1],-98004231
"[1, -3, 9, 12, 26]",[1],18439340
"[1, -29, -30, 1, -4]",[1],-840614495
"[1, -6, -4, 10, 16]",[1],-7020848
"[1, 28, -9, 19, 15]",[1],-5661886783
"[1, -25, 7, -22, -8]",[1],-1578178444
"[1, -30, -12, 22, -21]",[1],-11925605376
"[1, 13, -7, -14, 19]",[1],-213515463
"[1, -8, -8, 31, 21]",[1],62564837
"[1, 8, -14, -14, 29]",[1],-55696048
"[1, -27, 1, -22, -4]",[1],-1091670428
"[1, -10, -4, 15, 12]",[1],-15453867
"[1, 24, -21, -30, -6]",[1],391020480
"[1, 4, -16, -6, 12]",[2],13007184
"[1, -16, -4, -1, -11]",[1],-230195163
"[1, -4, -11, 19, -4]",[3],2985977
"[1, 7, 14, 28, -20]",[2],-38095536
"[1, -31, 7, -31, 16]",[1],-7889933068
"[1, -18, 20, 26, -31]","[0, 1]",2587968
"[1, 13, -16, -24, 18]",[1],255588372
"[1, 32, -14, 11, -8]",[1],-1426209739
"[1, -30, -14, -3, -11]",[1],-2747349819
"[1, -8, 28, -16, 19]",[1],30348032
"[1, -12, -26, -12, -21]",[1],-520329216
"[1, -23, -32, -14, -10]",[1],-658912748
"[1, 27, -26, -19, 25]",[1],-3376067692
"[1, -22, 19, -22, -13]",[1],-1890845888
"[1, 23, 11, -13, 13]",[1],-1428158355
"[1, -17, -27, -12, -9]",[1],-200786175
"[1, 32, -9, -18, -8]",[1],-1870676384
"[1, 26, -22, -5, 23]",[1],-5996572507
"[1, 3, 2, -28, 23]",[2],-791691
"[1, 27, 16, -27, -19]",[1],-170227672
"[1, 18, 20, 32, -25]",[1],-2821412016
"[1, 32, 25, -5, -22]",[1],-9198231151
"[1, -2, -10, 4, -23]",[1],-17374128
"[1, 1, -30, 7, 20]",[2],205741201
"[1, 23, -11, -28, -13]",[1],-1143824279
"[1, 24, 0, -3, 1]",[2],-7484171
"[1, -12, 9, -3, 21]",[1],-163704375
"[1, 22, 0, 32, 17]",[1],-3340224432
"[1, 16, 32, -32, 19]",[1],-778745088
"[1, 1, 23, 17, -17]",[1],-114394275
"[1, -27, 28, 8, 25]",[1],-10099939387
"[1, -29, -28, -25, -21]",[1],-5551176036
"[1, 10, 17, -4, -8]",[1],3769344
"[1, 3, 23, 4, -14]",[1],-60446948
"[1, 15, 4, 8, 13]",[1],-197096851
"[1, 5, 10, -11, 8]","[0, 1]",3371225
"[1, 1, 11, 18, 9]",[1],515313
"[1, 0, -15, 8, -24]",[1],-35496576
"[1, 32, 29, 10, 3]",[1],-73882896
"[1, -4, -4, 8, 20]",[1],-1703936
"[1, -32, 2, 14, 25]",[1],-17535500208
"[1, 11, -18, 17, -7]",[1],-6023804
"[1, -10, -17, -6, 1]","[3, 0]",-406528
"[1, -7, 15, -1, -7]",[2],-376043
"[1, -24, 12, -12, 8]",[1],-361474816
"[1, 19, 9, 12, -20]",[1],-1498559216
"[1, 20, -30, 9, 24]",[1],-3469224843
"[1, -11, 26, 4, 20]",[1],-31088816
"[1, 10, 32, 8, 30]",[1],105226560
"[1, 27, 20, -11, 26]",[1],-10473403671
"[1, -18, -24, -2, 22]","[0, 1]",-1586258096
"[1, -25, -29, 15, -28]",[1],-16060950732
"[1, 11, -21, -1, -31]",[1],-1054192811
"[1, 2, -16, 8, 13]",[1],1614288
"[1, -25, 17, -17, 12]",[1],-818683104
"[1, -13, -15, 21, 10]",[1],210989776
"[1, 23, 5, 17, 30]",[1],-6242296496
"[1, -1, -12, 15, -11]",[1],-2842016
"[1, -23, 11, -22, 19]",[1],-2061425943
"[1, -17, -1, 29, -10]",[1],237175988
"[1, 17, -2, -10, -9]",[1],-181547131
"[1, -24, -32, 8, 24]",[1],-2549395456
"[1, 25, -22, 19, -24]",[2],-5088755303
"[1, 27, -15, -6, -12]",[1],-2810789532
"[1, 6, -10, 10, -1]",[2],-835008
"[1, 28, 25, 10, -18]",[1],-5294737120
"[1, 10, 16, -25, 22]",[1],-31661227
"[1, 27, -15, -1, -3]",[1],-192603987
"[1, 31, -23, 8, 9]",[1],-2845218623
"[1, 29, 23, -29, 16]",[1],-6472152000
"[1, -32, -32, 16, -15]",[1],-13910060800
"[1, -11, 24, 23, 24]",[1],-26869991
"[1, 4, 7, 23, -8]",[1],-8512447
"[1, 24, 3, -24, 28]",[1],-6536577344
"[1, 29, -1, -21, 18]",[1],-5158091340
"[1, -10, 6, -30, -11]",[1],-156358400
"[1, 31, 19, -17, -27]",[1],-10657602811
"[1, 24, -1, 32, 11]",[1],-3094067664
"[1, -20, 8, -2, 10]",[1],-373984944
"[1, 13, -10, -9, -6]",[1],-57395775
"[1, 3, -14, 19, 12]",[1],-25201999
"[1, -32, -16, -15, 27]",[1],-26514757467
"[1, -30, 25, 7, -1]",[2],162816937
"[1, 9, 15, -32, 29]",[1],28306913
"[1, -31, -19, -8, -27]",[1],-18569836983
"[1, -6, 29, 27, -24]",[1],-534340239
"[1, -10, -28, -25, -24]",[1],-223236875
"[1, 5, -24, 8, -5]",[1],-22585203
"[1, 26, -4, 16, 3]",[1],-475213872
"[1, -29, 25, -24, 32]",[1],-11768836416
"[1, 29, -20, -20, 8]",[1],1397493824
"[1, 25, 24, -27, 11]",[1],-1769050228
"[1, 1, -30, -23, 9]",[1],159563948
"[1, -25, 9, 22, -21]",[1],-2459589575
"[1, 23, -32, 24, -24]",[1],-3210787008
"[1, 27, 19, -32, 8]",[1],27089248
"[1, 32, -14, 32, 12]",[1],-12097967104
"[1, 6, -21, -12, -14]",[1],-129761024
"[1, 20, 5, 17, -17]",[1],-1519214775
"[1, -32, -23, -7, -31]",[1],-29032961407
"[1, -2, 23, 20, -18]",[1],-176141568
"[1, 6, -6, 7, -3]",[1],-337419
"[1, -25, 8, 21, -16]",[1],-1185307271
"[1, -28, -15, -16, 26]",[1],-15205120736
"[1, 32, -6, 3, -18]",[1],-9290933739
"[1, -6, 21, -5, -20]",[1],-21716015
"[1, -7, 29, -15, 27]",[1],89272413
"[1, 8, -10, 7, 1]","[1, 2]",-1744155
"[1, -9, -17, 25, 25]",[1],175024325
"[1, -21, -25, 28, -1]",[2],1087320393
"[1, 0, -22, 21, -8]",[1],-9371979
"[1, 17, 20, 6, 3]",[2],-11279163
"[1, 20, -2, 11, -16]",[1],-1134342971
"[1, -25, -31, 28, -25]",[1],-15625354111
"[1, -24, 10, 29, 30]",[1],-8043747403
"[1, -1, 19, -13, 26]",[1],24652576
"[1, 0, -16, 4, -12]",[1],-17046272
"[1, 18, -32, 24, 9]",[1],-1120698288
"[1, 29, 31, 26, -19]",[1],-10604442215
"[1, 32, 10, -31, 16]",[1],-5954798011
"[1, -9, 8, -1, -1]",[2],-51732
"[1, -11, -11, 9, -21]",[1],-337215483
"[1, -19, -8, 1, 2]",[1],-11925943
"[1, 20, 6, 6, -2]",[1],-30919856
"[1, 27, -3, -22, -13]",[1],-1889250223
"[1, 25, -27, -11, 10]",[1],425694420
"[1, 15, 2, -18, 18]",[1],-374848812
"[1, -32, 24, -22, 31]",[1],-17978165680
"[1, 22, -23, -32, 30]",[1],686072384
"[1, -4, 10, 25, -23]",[2],-43798315
"[1, -20, -29, -22, -16]",[1],-642861664
"[1, 15, 31, 7, 25]",[1],-478411003
"[1, -6, -29, -31, -18]",[1],-31892599
"[1, -1, -31, -12, 9]",[1],125342649
"[1, 17, 8, -21, 19]",[1],-771449708
"[1, 21, 21, 24, 32]",[1],-2777274688
"[1, -23, -13, -23, -26]",[1],-4652957472
"[1, -20, -18, -7, 22]",[1],-2870962699
"[1, 9, 27, 5, -28]",[2],-15877228
"[1, -8, 20, -12, -28]",[1],-2767616
"[1, -20, 2, -10, -26]",[1],-2972040624
"[1, 23, -10, 27, -18]",[1],-2578049271
"[1, 0, 14, -25, -8]",[1],-34140827
"[1, -25, -6, -20, -20]",[1],-4264118320
"[1, -15, 24, -22, -9]",[1],-200934243
"[1, -13, -29, -32, 27]",[1],-2640872951
"[1, 3, 22, -23, 10]",[1],31473569
"[1, 23, 11, 1, 32]",[1],-6903689776
"[1, -13, 24, -4, 29]",[1],-296353283
"[1, 31, -17, 14, -32]",[1],-24560363404
"[1, -32, 16, -22, 13]",[1],-3315681712
"[1, 11, 11, -28, -22]",[1],70574140
"[1, -14, -28, 8, -9]",[1],-533225136
"[1, 11, 24, -4, 21]",[1],-49906867
"[1, -10, -27, -13, -27]",[1],-612526063
"[1, -20, 27, 18, -18]",[1],577881216
"[1, -10, 29, 30, -22]",[1],-227103632
"[1, 7, -18, 22, 32]",[1],-447247328
"[1, -21, 26, -32, 28]",[1],-1438606640
"[1, 4, -6, -18, -28]",[1],-14555056
"[1, 21, -20, -30, 20]",[1],1429071200
"[1, 21, 28, -13, -10]",[1],470716657
"[1, -4, 0, 29, -25]",[2],-5234603
"[1, -28, -17, 22, 19]",[1],-2182946032
"[1, 3, 7, -31, -26]",[1],-57138700
"[1, 31, 29, -32, 3]",[1],2341507729
"[1, -4, -12, -4, -24]",[1],-39928576
"[1, 13, -14, 11, 21]",[1],-653060204
"[1, -9, 11, 31, 22]",[1],-9478304
"[1, 14, -31, 6, -4]",[1],-114998288
"[1, -22, -31, -20, 11]",[1],-2175756208
"[1, 18, 26, 14, 17]",[1],-358097664
"[1, -31, 28, -29, 6]",[1],-934297055
"[1, -26, -30, 10, -15]",[1],-6274451200
"[1, -5, 21, 7, 20]",[1],68439712
"[1, 18, -22, 19, 13]",[1],-1352363819
"[1, 5, -12, -18, 2]",[1],12381044
"[1, -24, -19, 18, 5]",[1],748678544
"[1, -17, -1, 31, 6]",[1],496808176
"[1, -17, -22, -28, 7]",[1],-1040353083
"[1, -5, -23, 21, -6]",[1],-17697456
"[1, -1, 24, 22, -8]",[1],-105144016
"[1, 20, -11, -17, 22]",[1],-1489277575
"[1, -21, -7, -8, -26]",[1],-3650488676
"[1, 5, -17, -16, -4]",[1],-2682368
"[1, -13, -13, 14, 10]",[2],41925432
"[1, -32, -18, 28, -22]",[1],-19022975744
"[1, 18, -19, -11, 7]",[1],140151121
"[1, -29, 24, -21, 11]",[1],-920909668
"[1, 26, 17, 24, -30]",[1],-13586131392
"[1, 19, 29, 8, 11]",[1],-314371231
"[1, 13, -2, -17, 9]",[1],-9996892
"[1, -14, 22, 16, -28]",[1],45482752
"[1, -24, -5, 27, -1]",[2],1086025913
"[1, -4, 6, 29, -20]","[0, 1]",-31577499
"[1, -15, 5, 29, -10]",[1],254539188
"[1, -17, 19, 31, 30]",[1],-2052793696
"[1, -8, 11, 18, 20]",[1],910816
"[1, 31, -15, 22, -6]",[1],-1155592552
"[1, -6, -21, -17, -28]",[1],-138986239
"[1, 30, -14, 11, -27]",[2],-15565565851
"[1, 15, 7, -31, -11]",[1],333516989
"[1, 11, -21, -26, 11]",[1],434011257
"[1, -16, 23, -26, 3]",[1],-75739056
"[1, -15, 31, 17, -10]",[1],242555632
"[1, -3, 21, 29, 29]",[1],155366717
"[1, 7, -22, 15, -12]",[1],-31826175
"[1, -3, 1, -1, -13]",[1],-836171
"[1, 8, 28, -28, 31]",[1],435433472
"[1, -27, 15, 24, 24]",[1],-9262531872
"[1, -22, 32, 22, 2]",[1],189935312
"[1, 0, 22, -11, 2]",[1],2468149
"[1, -23, -8, -22, -8]",[1],-735225808
"[1, 10, -22, 1, -28]",[1],-717832739
"[1, 18, 29, 3, 8]",[1],-219205087
"[1, 14, -4, -16, -16]",[1],-285667328
"[1, 0, 13, -13, 23]",[1],7202017
"[1, -21, 25, -5, 11]",[1],-515901851
"[1, -5, -20, -9, -14]",[1],-46076431
"[1, -17, 19, -2, -2]",[2],1048568
"[1, -5, -13, -28, -14]",[1],-15059268
"[1, 6, -13, 31, 9]",[1],-138793679
"[1, -21, 16, 7, -8]",[1],-81335935
"[1, 5, 32, -20, 18]",[1],328196052
"[1, 28, 8, 19, -11]",[1],-3072912363
"[1, -27, 14, 18, -18]",[1],-2076251148
"[1, 16, 28, -8, -32]",[1],-158494720
"[1, 21, 1, -15, 12]",[1],-651864912
"[1, -20, 4, 9, 22]",[1],-2052698203
"[1, -3, -8, -32, 23]",[1],-101569211
"[1, -1, -14, 2, -1]",[2],-630107
"[1, 10, 6, -7, -3]","[2, 2]",1312357
"[1, 2, -9, 11, 17]",[1],-8457719
"[1, -23, 28, 29, 17]",[1],-3320001040
"[1, 31, 26, 4, -21]",[1],-9222497171
"[1, -21, -23, 22, -16]",[1],-3127996748
"[1, 5, 25, -29, -17]",[1],-320928955
"[1, 0, 1, -9, -5]",[1],-271071
"[1, 18, -4, -12, 21]",[1],-1163890608
"[1, -12, -5, 18, 22]",[1],-193203072
"[1, -32, 31, 27, 20]",[1],-17346986439
"[1, 4, 26, -3, -23]",[1],-176127515
"[1, -15, -21, -24, -18]",[2],-281917908
"[1, -6, 5, 2, -25]",[1],-9704640
"[1, -27, 26, -30, -14]",[1],-6384309228
"[1, -20, 10, -30, -2]",[1],-843952048
"[1, 16, 13, 20, -10]",[1],-361082080
"[1, 11, 1, 29, 3]",[1],-147424627
"[1, -29, 6, -31, 1]",[2],-2753861980
"[1, 27, -8, 6, -31]",[1],-14147117875
"[1, -28, 4, -27, -28]",[1],-15550086219
"[1, 10, -23, 12, 30]",[1],-653808960
"[1, 12, -10, 15, 11]",[1],-190837771
"[1, 31, -5, -19, 7]",[1],-56545051
"[1, 22, -31, -13, -27]",[1],-10623822447
"[1, -27, 32, 20, -25]",[2],387423525
"[1, -3, -11, -19, -14]",[1],-1649836
"[1, -31, 27, -7, 4]",[1],-260850348
"[1, 21, -8, -13, -23]",[1],-3372274552
"[1, 0, 24, 9, -11]",[1],-75389819
"[1, -29, -30, -7, -29]",[1],-19147263736
"[1, -25, -7, 21, 3]",[2],643708293
"[1, 17, 29, 22, -11]",[1],-370749951
"[1, 25, -7, -22, -25]",[1],-7320802639
"[1, -29, 2, 26, -27]",[1],-11261102547
"[1, -6, 29, -22, 2]",[1],-8165904
"[1, -32, 12, 25, -3]",[1],2311335941
"[1, 10, 27, -23, 26]",[1],150202057
"[1, -27, -3, -5, -27]",[1],-10577387187
"[1, 25, 27, 29, 21]",[1],-1725508931
"[1, -29, 20, 11, 29]",[1],-17074787200
"[1, 5, 9, 18, 9]",[1],-448335
"[1, -10, 2, 20, -25]",[1],-86529200
"[1, 16, -25, 25, 21]",[1],-2481365111
"[1, -5, 2, -21, 28]",[1],-22962863
"[1, 7, -3, -24, 3]",[2],15524865
"[1, 15, 20, -6, 32]",[1],-1046508304
"[1, -8, 28, 15, -4]",[1],-50189211
"[1, 7, -26, -6, 23]",[2],153407877
"[1, 18, 25, -29, 23]",[1],-1838637047
"[1, 26, -31, 15, 25]",[1],-11923820375
"[1, 14, 26, 9, -2]",[1],3009373
"[1, 29, -15, -29, -25]",[1],-15575320683
"[1, -22, 26, 23, -25]",[2],541453045
"[1, -31, 17, -4, -32]",[1],-23709904176
"[1, -9, -10, 32, 29]",[1],73052013
"[1, -20, -29, -28, 21]",[1],-5640153008
"[1, 3, 6, -14, 7]",[1],558229
"[1, 31, -32, 3, -10]",[1],-3780616143
"[1, 21, 13, 2, 2]",[1],-17123624
"[1, -22, 23, -4, -3]",[1],-26610320
"[1, -13, -28, -29, 24]",[1],-1988411175
"[1, -32, -4, 1, 23]",[1],-15222221531
"[1, -25, 1, -19, 9]",[1],-1247099755
"[1, 14, 13, -14, -4]",[1],44249840
"[1, -9, -11, -30, -14]",[1],-94891608
"[1, -16, -5, -7, -32]",[1],-1951344103
"[1, 30, -27, -27, -28]",[1],-30187690591
"[1, -8, 4, -20, -16]",[1],-53652224
"[1, -13, -20, -25, -13]",[1],-70770980
"[1, 32, 16, -2, -18]",[1],-7815164336
"[1, -29, -20, 25, 4]",[1],2633143337
"[1, 15, 25, 3, -27]",[1],-326978595
"[1, 5, 27, -9, 9]","[0, 1]",73585989
"[1, -13, 15, 32, 8]",[1],52823776
"[1, -15, -6, -17, -29]",[1],-1224962888
"[1, 2, 25, 16, -24]",[1],-187639808
"[1, 4, -13, -8, 15]",[2],5681200
"[1, -32, -21, 26, 19]",[1],-1126356592
"[1, -7, -16, -5, 18]",[1],-58237551
"[1, -21, -15, 4, -1]",[2],-19886575
"[1, -3, -27, 19, -5]",[1],-21818075
"[1, -6, -17, -27, 26]",[1],-311480023
"[1, -16, -8, -19, 13]",[1],-655480651
"[1, 18, -7, 11, -29]",[1],-2480947031
"[1, 12, 7, 8, -15]",[1],-120479536
"[1, 2, -28, -12, 22]",[1],208121152
"[1, 6, 9, -15, 9]",[1],2671785
"[1, -4, 27, 4, -1]",[2],-9335952
"[1, -15, 32, 21, 23]",[1],-730094308
"[1, -22, -32, 6, -10]",[1],-2107470000
"[1, -28, 32, 17, -26]",[1],-1452568347
"[1, 10, -11, -2, -12]",[1],-79862416
"[1, 15, 19, 28, -31]",[1],-1542495935
"[1, -9, 23, -5, 5]",[1],1393365
"[1, 31, -31, 29, 17]",[1],-18319122859
"[1, -23, 17, -25, -26]",[1],-6741153216
"[1, 21, 10, -11, -32]",[1],-4070439319
"[1, 13, 22, 9, 21]",[1],-137967588
"[1, 32, 24, -12, -31]",[1],-17214919168
"[1, 21, -15, 20, 3]",[1],-515936871
"[1, -12, -3, 10, 25]",[1],-341020400
"[1, 8, -19, 14, 6]",[1],-31665056
"[1, -15, -11, 6, -11]",[1],-272225439
"[1, 17, -16, 31, -16]",[1],-608446423
"[1, 18, 13, -22, 11]",[1],-341211200
"[1, 22, 13, -22, 26]",[1],-4549513168
"[1, 0, -24, -2, 16]","[1, 0]",67108432
"[1, 2, 0, 20, 10]",[1],-5227200
"[1, -27, 11, 29, 16]",[1],-3284656076
"[1, -17, 23, 20, 6]",[1],-119962836
"[1, -32, -20, -23, -17]",[1],-6106709563
"[1, -10, -20, 31, -25]",[1],-664274467
"[1, 24, 21, 19, -32]",[1],-9861471887
"[1, -9, 9, -30, 21]",[1],-64632303
"[1, 16, -15, 6, -15]",[1],-472527216
"[1, 18, 17, 19, 4]",[1],-48718175
"[1, -11, -32, 27, -8]",[2],-255048919
"[1, 8, -20, 15, 12]",[1],-90528795
"[1, -9, 26, 4, 13]",[1],37349533
"[1, -13, 13, -7, -29]",[1],-462750163
"[1, 6, 25, 31, -28]","[1, 2]",-57870311
"[1, 26, 17, 24, 25]",[1],-4996420592
"[1, 30, 23, 0, 18]",[1],-6848373888
"[1, 20, -29, -32, 21]",[1],3800276752
"[1, -15, 26, -30, 21]",[1],-77764371
"[1, 5, 13, -15, 23]",[1],38063997
"[1, 30, 29, -27, 29]",[1],-24600615175
"[1, -5, -31, 8, -8]",[1],-173743200
"[1, 1, 15, 15, 19]",[1],6922237
"[1, -5, 16, -31, 1]",[2],-5897128
"[1, -7, 15, 0, -5]",[1],-469175
"[1, 1, 1, 29, 32]",[1],-12425248
"[1, -19, -21, 10, -1]","[2, 0, 0]",746145
"[1, -7, -22, -26, -4]",[1],-17101648
"[1, 11, -18, 29, 4]",[1],-272497527
"[1, 2, -15, 2, 13]",[1],4211136
"[1, 13, -13, 3, 25]",[1],-697717331
"[1, 4, -10, -5, 1]","[3, 1]",609669
"[1, -23, 22, 5, 5]",[1],-329801860
"[1, 22, 6, -25, -8]",[1],487183757
"[1, 0, -20, 30, 5]",[3],5522000
"[1, -3, -25, 13, -1]","[0, 2]",5534925
"[1, 9, -8, -2, 16]",[1],-60907408
"[1, 29, -15, 27, 13]",[1],-7909641707
"[1, 22, -22, 0, 8]",[1],-311859200
"[1, -7, 15, -2, 9]","[0, 0, 1, 0]",1754617
"[1, -26, 18, -28, -12]",[1],-4276610816
"[1, 5, 32, -12, 16]",[1],266851072
"[1, -8, 23, 16, 8]",[1],26221696
