coefficients,signature,discriminant,number,type_i,source,type_II,gal_group,type_I
"[1, 1, -7, -7, 2]","[1, 1]",64436,2,False,df8,False,S_4,
"[1, 1, -6, -3, -2]","[1, 1]",-58271,2,False,df8,False,S_4,
"[1, 1, -4, -8, -6]","[1, 1]",-17228,2,False,df8,False,S_4,
"[1, 1, -4, -2, -7]","[1, 1]",-230723,2,False,df8,False,S_4,
"[1, 1, -3, -7, -6]","[1, 1]",-16268,2,False,df8,False,S_4,
"[1, 1, -3, -7, -2]","[1, 1]",-13036,2,False,df8,False,S_4,
"[1, 1, -3, 8, -5]","[1, 1]",-79375,2,False,df8,False,S_4,
"[1, 1, -2, 6, -8]","[1, 1]",-200608,2,False,df8,False,S_4,
"[1, 1, -2, 6, -2]","[1, 1]",-27436,2,False,df8,False,S_4,
"[1, 1, -1, 8, 5]","[1, 1]",-187231,2,False,df8,True,S_4,
"[1, 1, 0, -4, 7]","[1, 1]",116789,2,False,df8,True,S_4,
"[1, 1, 0, 5, -4]","[1, 1]",-48951,2,False,df8,False,S_4,
"[1, 8, -7, 7, 2]","[1, 1]",-2884783,2,False,df8,False,S_4,
"[1, 8, -6, 6, -7]","[1, 1]",-6371248,2,False,df8,False,S_4,
"[1, 8, -5, 7, -7]","[1, 1]",-6233143,2,False,df8,False,S_4,
"[1, 8, -5, 7, 2]","[1, 1]",-2485111,2,False,df8,False,S_4,
"[1, 8, -4, -1, 3]","[1, 1]",-1121051,2,False,df8,False,S_4,
"[1, 8, -3, -5, 2]","[1, 1]",95121,2,False,df8,False,S_4,
"[1, 8, -2, -4, 2]","[1, 1]",-193280,2,False,df8,True,S_4,
"[1, 8, 0, 7, -7]","[1, 1]",-6669243,2,False,df8,False,S_4,
"[1, 8, 1, -7, 8]","[1, 1]",-5662127,2,False,df8,False,S_4,
"[1, 8, 5, 1, -3]","[1, 1]",-655647,2,False,df8,False,S_4,
"[1, -4, -7, -1, -8]","[1, 1]",-2338983,2,False,df8,False,S_4,
"[1, -4, -7, 3, -8]","[1, 1]",-2795159,2,False,df8,False,S_4,
"[1, -4, -7, 7, 5]","[1, 1]",597497,2,False,df8,False,S_4,
"[1, -4, -6, 3, -5]","[1, 1]",-984731,2,False,df8,False,S_4,
"[1, -4, -6, 7, 4]","[1, 1]",404789,2,False,df8,False,S_4,
"[1, -4, -5, 7, 4]","[1, 1]",244193,2,False,df8,False,S_4,
"[1, -4, -4, 8, 2]","[1, 1]",240640,2,False,df8,False,S_4,
"[1, -4, -3, -7, 4]","[1, 1]",-792423,2,False,df8,False,S_4,
"[1, -4, -3, -5, -3]","[1, 1]",-120263,2,False,df8,False,S_4,
"[1, -4, -3, -3, 2]","[1, 1]",-121207,2,False,df8,False,S_4,
"[1, -4, 0, -3, -5]","[1, 1]",-267179,2,False,df8,False,S_4,
"[1, -4, 0, 7, -6]","[1, 1]",-59387,2,False,df8,True,S_4,
"[1, -4, 1, 5, -8]","[1, 1]",-157927,2,False,df8,True,S_4,
"[1, -4, 1, 5, -7]","[1, 1]",-104231,2,False,df8,True,S_4,
"[1, -4, 1, 5, -6]","[1, 1]",-63079,2,False,df8,True,S_4,
"[1, -4, 1, 5, 7]","[1, 1]",29273,2,False,df8,True,S_4,
"[1, -4, 1, 5, 8]","[1, 1]",56089,2,False,df8,True,S_4,
"[1, -4, 1, 7, 7]","[1, 1]",93401,2,False,df8,True,S_4,
"[1, -4, 1, 7, 8]","[1, 1]",142745,2,False,df8,True,S_4,
"[1, -4, 2, -8, 2]","[1, 1]",-159232,2,False,df8,False,S_4,
"[1, -4, 2, 3, -8]","[1, 1]",-149915,2,False,df8,True,S_4,
"[1, -4, 2, 3, -6]","[1, 1]",-63003,2,False,df8,True,S_4,
"[1, -4, 2, 3, 4]","[1, 1]",2917,2,False,df8,True,S_4,
"[1, -4, 2, 3, 6]","[1, 1]",28389,2,False,df8,True,S_4,
"[1, -4, 2, 3, 8]","[1, 1]",86629,2,False,df8,True,S_4,
"[1, -4, 2, 5, 8]","[1, 1]",189925,2,False,df8,True,S_4,
"[1, -4, 3, -7, 4]","[1, 1]",-84591,2,False,df8,False,S_4,
"[1, -4, 3, 1, 5]","[1, 1]",19089,2,False,df8,True,S_4,
"[1, -4, 3, 3, 8]","[1, 1]",210929,2,False,df8,True,S_4,
"[1, -4, 4, -1, -8]","[1, 1]",-163579,2,False,df8,True,S_4,
"[1, -4, 4, -1, -4]","[1, 1]",-24443,2,False,df8,True,S_4,
"[1, -4, 4, -1, 5]","[1, 1]",19045,2,False,df8,True,S_4,
"[1, -4, 4, -1, 7]","[1, 1]",62501,2,False,df8,True,S_4,
"[1, -4, 4, -1, 8]","[1, 1]",98053,2,False,df8,True,S_4,
"[1, -4, 4, 1, 8]","[1, 1]",204485,2,False,df8,True,S_4,
"[1, -4, 4, 7, 2]","[1, 1]",2981,2,False,df8,False,S_4,
"[1, -4, 5, -3, -5]","[1, 1]",-59159,2,False,df8,True,S_4,
"[1, -4, 5, -3, -4]","[1, 1]",-34583,2,False,df8,True,S_4,
"[1, -4, 5, -3, 6]","[1, 1]",28137,2,False,df8,True,S_4,
"[1, -4, 5, -3, 7]","[1, 1]",49897,2,False,df8,True,S_4,
"[1, -4, 5, -3, 8]","[1, 1]",80617,2,False,df8,True,S_4,
"[1, 1, 5, -6, -7]","[1, 1]",-551519,2,False,df8,False,S_4,
"[1, 1, 5, -5, -4]","[1, 1]",-228236,2,False,df8,False,S_4,
"[1, 1, 6, -2, 6]","[1, 1]",101876,2,False,df8,False,S_4,
"[1, 1, 8, -7, -6]","[1, 1]",-1398231,2,False,df8,False,S_4,
"[1, 2, -3, -5, -7]","[1, 1]",-149607,2,False,df8,True,S_4,
"[1, 2, -3, -5, -4]","[1, 1]",-33183,2,False,df8,True,S_4,
"[1, 2, -3, 3, 4]","[1, 1]",-91679,2,False,df8,False,S_4,
"[1, 2, -2, -4, -6]","[1, 1]",-69568,2,False,df8,True,S_4,
"[1, 2, -2, -4, 5]","[1, 1]",14032,2,False,df8,True,S_4,
"[1, 2, -2, -4, 6]","[1, 1]",30272,2,False,df8,True,S_4,
"[1, 2, -2, -4, 7]","[1, 1]",54608,2,False,df8,True,S_4,
"[1, 2, -2, 4, -3]","[1, 1]",-27440,2,False,df8,False,S_4,
"[1, 2, -2, 5, 4]","[1, 1]",-124771,2,False,df8,False,S_4,
"[1, 2, -1, -3, -8]","[1, 1]",-125783,2,False,df8,True,S_4,
"[1, 2, -1, -3, -6]","[1, 1]",-51591,2,False,df8,True,S_4,
"[1, 2, -1, -3, 5]","[1, 1]",29281,2,False,df8,True,S_4,
"[1, 2, -1, -3, 6]","[1, 1]",52185,2,False,df8,True,S_4,
"[1, 2, -1, -3, 7]","[1, 1]",84337,2,False,df8,True,S_4,
"[1, 2, -1, 7, -6]","[1, 1]",-218751,2,False,df8,False,S_4,
"[1, 2, 0, -2, -7]","[1, 1]",-70848,2,False,df8,True,S_4,
"[1, 2, 0, -2, -6]","[1, 1]",-42800,2,False,df8,True,S_4,
"[1, 2, 0, -2, 2]","[1, 1]",3024,2,False,df8,True,S_4,
"[1, 2, 0, -2, 5]","[1, 1]",39744,2,False,df8,True,S_4,
"[1, 2, 0, -2, 6]","[1, 1]",66640,2,False,df8,True,S_4,
"[1, 2, 0, -2, 7]","[1, 1]",103424,2,False,df8,True,S_4,
"[1, 2, 0, 0, -8]","[1, 1]",-158720,2,False,df8,True,S_4,
"[1, 2, 1, -1, 5]","[1, 1]",42649,2,False,df8,True,S_4,
"[1, 2, 1, -1, 6]","[1, 1]",70481,2,False,df8,True,S_4,
"[1, 2, 1, -1, 8]","[1, 1]",157729,2,False,df8,True,S_4,
"[1, 2, 1, 1, -8]","[1, 1]",-155479,2,False,df8,True,S_4,
"[1, 2, 1, 7, -2]","[1, 1]",-87727,2,False,df8,False,S_4,
"[1, 2, 2, -3, 5]","[1, 1]",80389,2,False,df8,False,S_4,
"[1, 2, 2, 0, 5]","[1, 1]",37840,2,False,df8,True,S_4,
"[1, 2, 2, 0, 6]","[1, 1]",63552,2,False,df8,True,S_4,
"[1, 2, 2, 0, 7]","[1, 1]",98896,2,False,df8,True,S_4,
"[1, 2, 3, 1, 6]","[1, 1]",48217,2,False,df8,True,S_4,
"[1, 2, 3, 1, 7]","[1, 1]",77873,2,False,df8,True,S_4,
"[1, 2, 4, -7, -5]","[1, 1]",-301891,2,False,df8,False,S_4,
"[1, 2, 4, -1, 5]","[1, 1]",64909,2,False,df8,False,S_4,
"[1, 2, 4, 2, -7]","[1, 1]",-143552,2,False,df8,True,S_4,
"[1, 2, 4, 2, 8]","[1, 1]",80848,2,False,df8,True,S_4,
"[1, 2, 5, 3, -8]","[1, 1]",-290111,2,False,df8,True,S_4,
"[1, 2, 5, 3, 7]","[1, 1]",23689,2,False,df8,True,S_4,
"[1, 2, 7, 5, -5]","[1, 1]",-282415,2,False,df8,True,S_4,
"[1, 2, 7, 5, -4]","[1, 1]",-202103,2,False,df8,True,S_4,
"[1, 2, 7, 5, -3]","[1, 1]",-137119,2,False,df8,True,S_4,
"[1, 2, 7, 5, 3]","[1, 1]",16913,2,False,df8,True,S_4,
"[1, 2, 8, 6, -5]","[1, 1]",-451328,2,False,df8,True,S_4,
"[1, 2, 8, 6, -3]","[1, 1]",-238272,2,False,df8,True,S_4,
"[1, 2, 8, 6, 2]","[1, 1]",19408,2,False,df8,True,S_4,
"[1, 2, 8, 6, 3]","[1, 1]",36096,2,False,df8,True,S_4,
"[1, 2, 8, 6, 8]","[1, 1]",29776,2,False,df8,True,S_4,
"[1, 3, -6, -6, 6]","[1, 1]",145044,2,False,df8,False,S_4,
"[1, 3, -6, 8, 2]","[1, 1]",-575788,2,False,df8,False,S_4,
"[1, 3, -5, -5, 4]","[1, 1]",70292,2,False,df8,False,S_4,
"[1, 3, -5, -3, 2]","[1, 1]",41684,2,False,df8,False,S_4,
"[1, 3, -5, 0, -7]","[1, 1]",-770791,2,False,df8,False,S_4,
"[1, 3, -5, 6, -7]","[1, 1]",-481567,2,False,df8,False,S_4,
"[1, 3, -4, -1, -2]","[1, 1]",-59831,2,False,df8,False,S_4,
"[1, 3, -4, 7, 4]","[1, 1]",-615023,2,False,df8,False,S_4,
"[1, 3, -3, 0, -3]","[1, 1]",-78759,2,False,df8,False,S_4,
"[1, 3, -3, 5, -4]","[1, 1]",-112108,2,False,df8,False,S_4,
"[1, -1, 2, 8, 6]","[1, 1]",96052,2,False,df8,False,S_4,
"[1, 0, -8, -3, 8]","[1, 1]",64373,2,False,df8,False,S_4,
"[1, 0, -8, -1, -8]","[1, 1]",-1168411,2,False,df8,True,S_4,
"[1, 0, -8, -1, -2]","[1, 1]",-161563,2,False,df8,True,S_4,
"[1, 0, -8, -1, 2]","[1, 1]",100069,2,False,df8,True,S_4,
"[1, 0, -7, -1, -6]","[1, 1]",-504191,2,False,df8,True,S_4,
"[1, 0, -7, -1, -4]","[1, 1]",-265023,2,False,df8,True,S_4,
"[1, 0, -7, -1, -3]","[1, 1]",-174239,2,False,df8,True,S_4,
"[1, 0, -7, -1, -2]","[1, 1]",-100607,2,False,df8,True,S_4,
"[1, 0, -7, -1, 2]","[1, 1]",53121,2,False,df8,True,S_4,
"[1, 0, -6, -1, -6]","[1, 1]",-339579,2,False,df8,True,S_4,
"[1, 0, -6, -1, -5]","[1, 1]",-245723,2,False,df8,True,S_4,
"[1, 0, -5, -1, -7]","[1, 1]",-309095,2,False,df8,True,S_4,
"[1, 0, -4, -1, -8]","[1, 1]",-290075,2,False,df8,True,S_4,
"[1, 0, 0, -7, -5]","[1, 1]",-96827,2,False,df8,False,S_4,
"[1, 0, 1, -1, -8]","[1, 1]",-140575,2,False,df8,True,S_4,
"[1, 0, 1, -1, -6]","[1, 1]",-60895,2,False,df8,True,S_4,
"[1, 0, 1, -1, 3]","[1, 1]",6209,2,False,df8,True,S_4,
"[1, 0, 1, -1, 6]","[1, 1]",51617,2,False,df8,True,S_4,
"[1, 0, 1, -1, 8]","[1, 1]",124129,2,False,df8,True,S_4,
"[1, 0, 2, -3, 3]","[1, 1]",8373,2,False,df8,False,S_4,
"[1, 0, 2, -1, -6]","[1, 1]",-77051,2,False,df8,True,S_4,
"[1, 0, 2, -1, 6]","[1, 1]",40069,2,False,df8,True,S_4,
"[1, 0, 2, -1, 7]","[1, 1]",66469,2,False,df8,True,S_4,
"[1, 0, 2, -1, 8]","[1, 1]",102597,2,False,df8,True,S_4,
"[1, 0, 3, -7, 5]","[1, 1]",45401,2,False,df8,False,S_4,
"[1, 0, 3, -1, -7]","[1, 1]",-156487,2,False,df8,True,S_4,
"[1, 0, 3, -1, 5]","[1, 1]",11705,2,False,df8,True,S_4,
"[1, 0, 3, -1, 8]","[1, 1]",71033,2,False,df8,True,S_4,
"[1, 0, 4, -1, -8]","[1, 1]",-299803,2,False,df8,True,S_4,
"[1, 0, 4, -1, -2]","[1, 1]",-19867,2,False,df8,True,S_4,
"[1, 0, 4, -1, 7]","[1, 1]",19877,2,False,df8,True,S_4,
"[1, 0, 4, -1, 8]","[1, 1]",37093,2,False,df8,True,S_4,
"[1, 3, -2, 7, 2]","[1, 1]",-230303,2,False,df8,False,S_4,
"[1, 3, 0, 7, -2]","[1, 1]",-123503,2,False,df8,False,S_4,
"[1, 4, -8, -5, -3]","[1, 1]",-757003,2,False,df8,False,S_4,
"[1, 4, 7, -3, -2]","[1, 1]",-90271,2,False,df8,False,S_4,
"[1, 4, 7, 5, -8]","[1, 1]",-198463,2,False,df8,True,S_4,
