coefficients,signature,discriminant
"[1, -1, 30, 41, 6]",[1],-158724103
"[1, -24, -48, -57, 36]",[1],-48664982331
"[1, -14, 9, 21, 22]",[1],-445498151
"[1, 25, -33, 60, 38]",[1],-57366360148
"[1, -36, 42, -51, 62]",[1],-88047188923
"[1, 16, 47, -24, 56]",[1],-2878944128
"[1, 55, -10, 40, -38]",[1],-359587235532
"[1, -45, -51, -25, -53]",[1],-295877449787
"[1, -32, 54, -32, 13]",[1],-875999232
"[1, 30, 62, 34, -59]",[1],-56180600576
"[1, 26, -12, 34, 9]",[2],-5277094592
"[1, -42, 44, -53, 53]",[1],-119965336707
"[1, 39, 13, 38, 36]",[1],-72437959708
"[1, -23, -20, -10, 19]",[1],-3956421403
"[1, -24, 35, -39, -56]",[1],-31553285175
"[1, 29, 36, -49, 16]",[1],-4573550655
"[1, 35, -11, 60, -14]",[1],-38971165396
"[1, -22, 6, 26, -12]",[2],230175824
"[1, -29, 13, -54, 26]",[1],-19150909176
"[1, 12, 52, 1, -30]",[1],-904810363
"[1, 8, 19, -31, 48]",[1],338125865
"[1, 33, -23, -46, 47]",[1],-24748038479
"[1, -33, -44, -55, -15]",[1],-8178794200
"[1, 33, -59, 30, 52]",[1],-131955178428
"[1, -16, 0, 20, 21]",[1],-637021696
"[1, -24, 11, 51, 39]",[1],-10481217063
"[1, 10, 12, -59, 22]",[1],26020629
"[1, -49, -41, 17, -11]",[1],-42004684291
"[1, -52, -51, -41, 56]",[1],-950079591351
"[1, -20, 59, -43, -61]",[2],-5797052095
"[1, 7, 48, 46, 27]",[1],433385573
"[1, 32, 52, -24, -58]",[1],-7872313344
"[1, 9, 25, -64, 51]",[1],721434017
"[1, 60, 24, 35, -28]",[1],-381152086987
"[1, -44, -21, 28, -11]",[1],-15497658288
"[1, -57, -30, -41, 20]",[1],-246890394319
"[1, 42, 1, -24, 39]",[1],-124493815536
"[1, -19, -51, -27, -59]",[1],-23808254099
"[1, -17, 7, -15, -28]",[1],-1863497904
"[1, -1, 60, -22, -39]",[2],-9090830083
"[1, 21, -33, 35, 5]",[1],-2506172755
"[1, 39, 56, 10, 51]",[1],-152526816683
"[1, -6, 47, 59, -41]",[1],-8035061879
"[1, 64, 50, -15, -50]",[1],-788627922875
"[1, 10, 14, 10, 14]",[1],-13722800
"[1, 18, 59, -23, -35]",[1],3005915329
"[1, 13, 19, 16, 46]",[1],-642070324
"[1, -28, -42, 57, -29]",[1],-33663346475
"[1, 41, -27, 35, 5]",[1],-18858654635
"[1, -24, -42, -40, -25]",[1],-1999897600
"[1, 23, 33, 5, 7]",[1],-464840883
"[1, -51, 37, 56, 21]",[1],-85231503175
"[1, 23, 5, 64, 62]",[1],-37710405988
"[1, -31, 45, 29, -62]",[1],-16731705708
"[1, -41, 7, 16, -44]",[1],-136888362400
"[1, -2, -4, 1, -47]",[1],-36657651
"[1, 27, -2, 42, 25]",[1],-16173706347
"[1, 20, -11, 61, -25]",[1],-8569892263
"[1, 47, 48, 32, -29]",[1],-155147778675
"[1, 35, -64, -19, 23]",[1],38203194484
"[1, -55, -51, -55, -14]",[1],-43414001676
"[1, -6, 60, 12, -9]",[1],-1888700976
"[1, -24, 54, 17, 44]",[1],-24547221211
"[1, -40, -20, 12, -33]",[1],-91036422144
"[1, -21, -6, 20, 10]",[1],-36358700
"[1, 15, -50, -19, 20]",[3],5748941833
"[1, -60, 14, -48, 2]",[1],-88828096000
"[1, 54, 31, -60, -31]",[2],98677377776
"[1, 49, -58, -46, -26]",[1],-264218190444
